20 66
12 8 88
18 9 15
0 6 92
17 5 96
0 14 4
1 13 18
8 3 85
10 9 68
16 19 42
10 16 63
7 12 61
2 3 44
16 14 57
18 18 42
8 16 23
3 1 94
0 1 79
16 6 16
5 14 32
18 11 5
15 16 58
11 0 35
18 7 21
18 16 30
12 16 81
4 16 19
4 18 13
10 0 45
6 3 45
11 1 69
15 13 19
4 13 20
17 15 81
0 10 1
5 15 93
15 14 21
6 8 64
16 16 62
17 1 98
5 8 61
18 10 69
6 17 69
3 9 80
2 14 57
14 16 23
4 15 47
12 16 33
0 3 48
13 10 38
5 8 23
9 15 75
12 15 92
0 17 69
4 1 64
11 1 97
11 12 53
18 0 41
8 1 33
18 19 1
8 9 87
2 1 34
10 8 97
6 5 47
2 19 36
1 13 36
5 8 82
