30 87
16 11 66
18 0 32
4 20 59
10 15 98
14 26 28
17 29 98
29 19 81
3 13 33
11 2 76
9 16 38
8 18 32
12 14 38
23 7 17
24 12 27
10 12 70
29 1 9
14 10 92
23 28 100
7 20 97
13 0 92
18 15 36
12 18 79
28 2 51
2 20 87
14 6 26
26 9 93
12 17 15
14 21 59
1 25 36
26 6 68
9 22 69
21 5 39
26 16 24
2 6 93
2 27 72
9 3 77
20 18 51
28 8 76
9 4 49
19 7 64
11 12 35
14 11 44
8 7 83
6 22 83
17 24 73
2 13 60
22 27 78
26 24 21
6 8 91
17 18 46
25 21 45
13 9 5
19 11 61
0 14 30
23 1 83
0 1 57
5 4 85
26 10 8
29 23 27
1 24 89
26 24 81
23 28 13
8 2 75
11 28 53
5 10 49
20 16 28
9 0 51
13 7 52
15 16 93
14 25 14
28 13 27
22 16 50
9 7 56
13 17 42
22 5 39
9 6 89
7 23 25
23 18 83
14 1 37
9 25 23
2 24 57
19 6 32
23 15 51
24 9 95
5 4 21
2 1 99
23 24 61
