25 90
8 3 95
2 14 27
3 4 23
19 19 44
8 21 3
6 17 34
10 12 49
7 21 98
2 20 40
11 18 1
17 7 46
6 22 43
19 1 35
16 7 95
5 1 84
4 8 70
2 3 99
6 9 95
24 21 100
18 8 3
22 19 92
21 10 16
23 5 88
20 20 52
18 20 73
17 20 94
5 0 12
9 0 90
5 6 41
15 10 63
7 0 26
6 13 77
21 22 68
19 8 98
19 11 88
18 2 81
23 20 97
15 5 40
16 10 66
24 15 97
3 9 7
18 0 8
15 19 24
8 4 38
0 3 5
24 22 41
8 19 21
11 2 4
0 23 55
8 11 78
21 11 20
16 10 31
13 0 31
7 8 61
23 19 78
21 24 29
19 5 7
3 7 88
20 8 24
2 22 58
7 13 35
13 15 8
12 24 67
11 13 57
17 15 5
14 3 50
7 20 26
16 3 65
19 2 28
8 9 31
2 24 79
13 12 47
6 24 38
2 13 83
23 5 32
9 16 58
13 1 25
16 9 2
23 17 63
3 11 35
2 7 64
9 2 34
10 20 20
0 2 46
15 20 2
4 8 32
15 18 39
2 6 53
9 16 40
6 16 17
