25 75
14 6 43
17 15 80
1 24 59
24 4 93
13 11 88
2 2 28
6 23 74
10 11 40
18 3 91
10 0 58
12 19 71
5 4 75
6 14 53
4 11 17
18 3 96
2 12 8
24 13 24
0 9 62
3 10 80
2 10 5
15 15 29
20 2 70
23 8 58
10 3 12
13 13 74
22 3 19
8 24 66
11 10 15
18 24 97
12 20 62
10 24 51
3 1 7
3 12 91
15 19 94
24 2 73
0 4 39
12 12 20
3 21 66
11 24 16
21 20 69
19 3 31
1 11 44
10 20 41
21 24 38
22 0 30
5 16 70
24 10 27
10 18 18
15 11 100
15 23 61
3 1 17
19 5 66
15 10 65
10 21 39
7 4 23
3 15 60
18 17 24
14 3 64
9 24 98
12 9 15
5 20 11
0 2 96
1 9 52
15 22 68
13 24 32
5 13 68
7 16 87
17 15 72
2 4 73
12 22 83
10 11 56
15 14 52
17 20 78
4 4 19
18 15 64
