25 105
3 18 13
9 8 80
22 7 85
0 1 33
17 18 56
12 6 10
14 6 27
19 9 64
18 19 87
9 0 48
17 21 48
14 23 68
10 0 79
17 20 37
24 18 74
14 24 85
5 1 73
12 0 98
0 22 99
7 21 40
1 14 25
11 15 82
21 8 30
6 9 52
22 18 41
10 10 3
21 1 21
10 11 27
15 20 91
12 7 91
23 13 22
7 1 42
14 5 48
23 7 55
11 17 56
12 0 17
21 9 18
11 7 88
5 0 3
6 16 78
0 0 75
9 9 79
9 9 11
1 8 33
1 2 28
24 11 74
0 12 25
21 22 1
2 14 41
0 17 35
15 20 59
15 6 17
20 18 14
10 17 38
2 8 21
15 22 2
21 16 21
14 16 62
12 3 8
15 22 43
20 23 30
21 7 17
13 13 38
2 6 21
22 5 27
10 1 68
18 18 91
24 0 57
4 13 72
13 0 3
10 17 43
9 7 30
10 23 46
1 11 89
15 0 27
0 11 20
17 19 70
14 4 55
14 23 77
1 23 93
14 5 42
6 16 90
3 14 43
19 11 6
22 14 51
23 18 95
23 13 96
1 23 10
0 19 33
24 23 38
17 11 77
4 22 38
3 14 86
12 11 58
2 3 4
22 0 65
24 12 4
5 4 23
12 0 34
17 22 68
11 9 57
13 22 99
5 12 62
15 0 33
20 18 77
