30 108
21 29 59
29 1 25
3 11 44
27 0 34
2 24 72
4 20 34
21 5 76
3 13 40
0 2 85
11 24 90
22 20 83
13 22 11
2 22 63
23 18 27
0 26 73
15 8 78
27 26 73
1 28 73
13 6 42
0 16 71
5 8 30
6 24 33
11 24 38
7 22 24
1 18 7
2 17 5
15 16 41
20 24 32
22 8 80
7 18 80
28 13 91
10 6 57
10 17 77
5 16 19
2 4 27
9 25 93
7 4 76
28 13 61
7 5 80
23 1 38
29 0 62
8 5 35
11 9 41
0 12 78
11 21 66
17 13 35
2 25 30
27 17 75
2 23 57
20 23 66
6 12 22
23 27 99
15 19 27
11 20 28
17 2 30
22 0 47
24 21 53
15 23 87
5 14 98
17 26 18
27 4 64
8 28 91
19 28 35
9 11 15
4 5 53
1 10 81
27 15 77
24 9 39
22 3 93
29 22 93
10 16 10
3 17 77
23 13 3
8 2 81
16 27 3
19 15 62
0 25 80
12 23 39
14 8 94
2 23 37
23 29 18
22 26 18
13 27 68
21 17 98
26 8 45
15 20 16
10 5 100
12 0 21
20 14 90
1 16 27
25 27 91
16 15 85
1 25 85
7 0 78
15 7 73
20 3 70
2 21 5
1 13 74
2 29 65
28 17 88
13 11 54
25 17 44
29 24 81
12 15 42
1 15 50
8 20 61
19 2 49
7 4 47
