30 152
21 23 94
8 19 36
25 15 14
10 13 86
3 10 35
6 16 19
17 27 26
7 13 23
16 12 91
16 13 72
15 9 86
4 19 70
23 9 48
0 26 71
21 0 50
14 24 94
27 18 52
7 16 43
19 27 33
5 4 63
18 19 13
6 21 74
23 11 42
1 1 10
27 6 31
1 24 85
28 0 52
7 8 86
10 27 18
8 13 18
23 4 51
23 28 43
15 26 48
9 16 76
14 17 49
23 27 74
21 18 40
27 25 17
29 12 96
21 18 81
15 25 69
26 27 42
0 9 66
22 4 23
28 16 50
22 1 42
24 13 31
18 25 57
20 27 14
9 16 1
10 25 41
9 10 74
4 2 93
21 1 84
22 20 57
19 23 37
0 20 35
17 13 60
13 4 48
2 27 94
29 10 93
12 28 40
26 4 80
0 22 35
27 16 83
29 1 25
25 12 24
4 18 39
6 17 81
28 7 13
26 18 14
6 13 91
19 22 1
7 21 80
3 20 4
1 13 63
5 25 32
19 16 85
21 13 30
8 29 80
4 9 63
7 12 88
16 13 58
22 3 12
14 26 48
9 9 39
12 22 16
22 7 13
28 23 49
16 11 7
17 11 99
28 21 54
27 9 21
26 7 93
20 7 88
9 29 78
28 8 45
20 3 9
10 27 10
3 11 62
2 21 77
11 2 10
5 2 5
2 6 90
17 22 11
17 18 50
20 21 31
9 20 12
21 16 23
17 4 99
5 20 8
6 1 61
26 26 68
2 25 83
1 13 93
14 4 43
12 1 58
6 3 8
27 21 25
9 8 42
5 12 33
28 9 91
10 28 94
22 1 89
13 9 78
11 13 86
21 18 98
4 25 52
19 27 59
4 14 91
19 27 48
28 4 36
24 20 68
22 12 36
17 1 21
15 5 10
2 13 59
4 11 53
10 26 61
14 29 32
2 24 7
15 19 68
18 11 89
12 11 25
18 3 6
19 11 99
15 2 34
3 15 48
26 16 28
27 22 10
7 9 17
26 20 15
