30 130
11 9 86
13 23 34
7 20 46
24 0 28
22 10 63
8 14 19
28 18 22
3 11 56
18 8 48
28 18 12
1 6 94
12 21 30
25 20 53
10 5 37
0 4 81
7 6 16
0 8 94
0 24 90
19 1 53
11 21 90
15 5 1
7 18 17
10 17 59
8 8 10
20 17 55
23 20 68
26 14 78
14 13 10
5 27 62
26 5 83
1 3 20
9 23 87
16 15 50
23 28 81
29 11 84
6 20 47
8 25 44
17 8 64
19 11 58
12 26 30
17 10 55
26 10 20
11 25 68
10 14 61
6 5 89
19 2 67
19 25 83
8 2 19
1 18 48
20 4 7
15 14 37
11 12 47
16 16 27
4 4 61
4 11 42
10 13 50
23 19 79
25 6 74
21 19 61
28 6 41
18 23 82
7 12 2
25 24 77
1 2 15
2 2 69
4 27 51
26 21 56
4 1 49
12 12 12
21 5 83
27 22 19
7 8 9
11 14 70
12 4 18
26 3 22
18 18 39
10 14 78
17 3 11
10 6 97
18 13 17
7 15 98
0 13 44
28 9 59
15 4 63
16 13 74
4 27 15
12 11 95
3 25 6
1 18 7
23 26 62
15 17 29
29 0 9
13 1 21
0 27 55
8 28 50
8 11 29
24 6 86
17 19 37
28 5 22
19 28 16
23 29 57
13 14 86
18 16 65
23 3 49
22 24 58
8 9 2
27 11 25
28 16 45
6 21 50
20 5 19
13 20 75
5 16 1
10 20 65
0 28 78
29 25 68
19 9 59
4 20 23
27 17 48
22 10 69
25 9 15
11 22 33
4 8 33
12 18 16
27 5 84
23 26 84
0 13 5
18 18 30
20 0 53
21 15 7
1 25 4
